Language	OmniVoice_ID	ISO_639_3	Duration_h
Filipino	fil	fil	7.71
Filomena Mata-Coahuitlán Totonac	tlp	tlp	11.35
Finnish	fin	fin	468.62
Fipa	fip	fip	10.55
Fon	fon	fon	11.20
French	fra	fra	23675.32
Frisian (Western)	fry	fry	70.41
Friulian	fur	fur	14.80
Fulah	ful	ful	13.84
Galician	glg	glg	208.81
Gambian Wolof	wof	wof	9.46
Ganda	lug	lug	447.82
Garhwali	gbm	gbm	19.14
Gawar-Bati	gwt	gwt	12.16
Gawri	gwc	gwc	10.83
Gbagyi	gbr	gbr	12.12
Gbari	gby	gby	12.59
Geji	gyz	gyz	10.49
Gen	gej	gej	5.39
Georgian	kat	kat	156.96
German	deu	deu	21927.13
Geser-Gorom	ges	ges	10.08
Gheg Albanian	aln	aln	3.92
Ghomálá'	bbj	bbj	7.32
Gidar	gid	gid	10.06
Glavda	glw	glw	10.51
Goan Konkani	gom	gom	9.82
Goaria	gig	gig	9.41
Goemai	ank	ank	10.00
Gola	gol	gol	9.26
Greek	ell	ell	2412.54
Greenlandic	kal	kal	8.90
Guarani	grn	grn	4.06
Guduf-Gava	gdf	gdf	12.21
Guerrero Amuzgo	amu	amu	10.10
Gujarati	guj	guj	91.18
Gujari	gju	gju	8.66
Gulf Arabic	afb	afb	98.55
Gurgula	ggg	ggg	7.12
Gusii	guz	guz	9.50
Gusilay	gsl	gsl	10.00
Gweno	gwe	gwe	8.87
Güilá Zapotec	ztu	ztu	9.17
Hadothi	hoj	hoj	10.08
Hahon	hah	hah	9.64
Haitian Creole	hat	hat	0.04
Hakha Chin	cnh	cnh	2.24
Hakö	hao	hao	8.56
Halia	hla	hla	9.86
Hausa	hau	hau	17.75
Hawaiian	haw	haw	11.79
Hazaragi	haz	haz	9.69
Hebrew	heb	heb	13.40
Hemba	hem	hem	9.53
Herero	her	her	9.59
Highland Konjo	kjk	kjk	10.21
Hijazi Arabic	acw	acw	22.32
Hindi	hin	hin	117.17
Hmong	hmn	hmn	9.30
Huarijio	var	var	9.28
Huautla Mazatec	mau	mau	6.39
Huaxcaleca Nahuatl	nhq	nhq	5.07
Huba	hbb	hbb	10.70
Huitepec Mixtec	mxs	mxs	9.64
Hula	hul	hul	10.33
Hungarian	hun	hun	255.83
Hunjara-Kaina Ke	hkk	hkk	8.69
Hwana	hwo	hwo	11.23
Ibibio	ibb	ibb	7.38
Icelandic	isl	isl	647.29
Idakho-Isukha-Tiriki	ida	ida	9.31
Idoma	idu	idu	11.16
Igbo	ibo	ibo	13.69
Igo	ahl	ahl	9.22
Ikposo	kpo	kpo	7.83
Ikwere	ikw	ikw	10.00
Ilocano	ilo	ilo	14.20
Imbabura Highland Quichua	qvi	qvi	11.00
Indonesian	ind	ind	6327.87
Indus Kohistani	mvy	mvy	21.64
Interlingua	ina	ina	13.48
Inuktitut	iku	iku	2.20
Inupiaq	ipk	ipk	2.11
Irish	gle	gle	21.40
Iron Ossetic	oss	oss	1.38
Isekiri	its	its	11.85
Isoko	iso	iso	10.33
Italian	ita	ita	9402.46
Ito	itw	itw	9.19
Itzá	itz	itz	7.08
Ixtayutla Mixtec	vmj	vmj	10.17
Izon	ijc	ijc	9.95
Jambi Malay	jax	jax	10.29
Japanese	jpn	jpn	36914.40
Jaqaru	jqr	jqr	9.32
Jauja Wanca Quechua	qxw	qxw	11.42
Jaunsari	jns	jns	11.25
Javanese	jav	jav	11.19
Jiba	juo	juo	10.43
Jju	kaj	kaj	10.16
Judeo-Moroccan Arabic	aju	aju	7.21
Juxtlahuaca Mixtec	vmc	vmc	9.43
Kabardian	kbd	kbd	108.35
Kabras	lkb	lkb	9.99
Kabuverdianu	kea	kea	10.51
Kabyle	kab	kab	529.52
Kachi Koli	gjk	gjk	20.83
Kairak	ckr	ckr	10.51
Kalabari	ijn	ijn	11.04
Kalasha	kls	kls	9.11
Kalenjin	kln	kln	40.42
Kalkoti	xka	xka	8.00
Kamba	kam	kam	14.72
Kamo	kcq	kcq	10.49
Kanauji	bjj	bjj	11.01
Kanembu	kbl	kbl	10.19
Kannada	kan	kan	128.06
Kanuri	kau	kau	9.10
Karekare	kai	kai	10.52
Kashmiri	kas	kas	110.42
Kathoriya Tharu	tkt	tkt	10.64
Kati	bsh	bsh	8.77
Kazakh	kaz	kaz	1537.29
Keiyo	eyo	eyo	9.24
Khams Tibetan	khg	khg	6.38
Khana	ogo	ogo	10.51
Khetrani	xhe	xhe	9.40
Khmer	khm	khm	7.10
Khowar	khw	khw	15.55
Kikuyu	kik	kik	36.80
Kinga	zga	zga	9.50
Kinnauri	kfk	kfk	10.32
Kinyarwanda	kin	kin	2021.66
Kirghiz	kir	kir	46.63
Kirundi	run	run	24.50
Kirya-Konzəl	fkk	fkk	9.98
Kochila Tharu	thq	thq	10.28
Kohistani Shina	plk	plk	12.75
Kohumono	bcs	bcs	10.45
Kok Borok	trp	trp	10.74
Kol (Papua New Guinea)	kol	kol	9.95
Kom (Cameroon)	bkm	bkm	10.76
Koma	kmy	kmy	10.28
Komi	kpv	kpv	7.20
Konkani (Goan)	knn	knn	112.83
Konzo	koo	koo	13.23
Korean	kor	kor	8609.28
Korwa	kfp	kfp	11.87
Kota (India)	kfe	kfe	10.25
Koti	eko	eko	8.15
Kuanua	ksd	ksd	9.91
Kuanyama	kua	kua	9.88
Kui (India)	uki	uki	10.77
Kulung (Nigeria)	bbu	bbu	10.39
Kuot	kto	kto	9.77
Kurdish (Kurmanji)	kmr	kmr	69.59
Kushi	kuh	kuh	10.35
Kwambi	kwm	kwm	9.90
Kwasio	nmg	nmg	10.39
Lala-Roba	lla	lla	10.38
Lamang	hia	hia	11.07
Lao	lao	lao	7.63
Larike-Wakasihu	alo	alo	9.97
Lasi	lss	lss	6.53
Latgalian	ltg	ltg	27.23
Latin	lat	lat	32.10
Latvian	lav	lav	1441.58
Levantine Arabic	apc	apc	15.65
Liana-Seti	ste	ste	10.43
Liberia Kpelle	xpe	xpe	9.50
Liberian English	lir	lir	10.26
Libyan Arabic	ayl	ayl	20.13
Ligurian	lij	lij	15.97
Lijili	mgi	mgi	10.89
Lingala	lin	lin	17.99
Lithuanian	lit	lit	2629.45
Loarki	lrk	lrk	10.50
Logooli	rag	rag	9.39
Logudorese Sardinian	src	src	10.67
Loja Highland Quichua	qvj	qvj	10.59
Loloda	loa	loa	9.31
Lombard	lmo	lmo	15.60
Longuda	lnu	lnu	10.46
Low German	nds	nds	22.30
Lower Sorbian	dsb	dsb	4.10
Loxicha Zapotec	ztp	ztp	9.62
Luba-Lulua	lua	lua	8.47
Luo	luo	luo	36.17
Lushai	lus	lus	20.24
Luxembourgish	ltz	ltz	8.46
Maasina Fulfulde	ffm	ffm	10.46
Maba (Chad)	mde	mde	9.50
Macedo-Romanian	rup	rup	0.02
Macedonian	mkd	mkd	27.21
Mada (Cameroon)	mxu	mxu	12.00
Mafa	maf	maf	9.97
Maithili	mai	mai	131.37
Malay	msa	msa	9.57
Malayalam	mal	mal	166.57
Mali	gcc	gcc	9.87
Malinaltepec Me'phaa	tcf	tcf	9.04
Maltese	mlt	mlt	630.29
Mandara	tbf	tbf	10.01
Mandjak	mfv	mfv	9.55
Manggarai	mqy	mqy	10.50
Manipuri	mni	mni	44.46
Mansoanka	msw	msw	9.32
Manx	glv	glv	10.07
Maori	mri	mri	18.02
Marathi	mar	mar	156.71
Marghi Central	mrt	mrt	10.36
Marghi South	mfm	mfm	10.05
Maria (India)	mrr	mrr	11.00
Marshallese	mah	mah	1.90
Marwari (Pakistan)	mve	mve	9.96
Masana	mcn	mcn	10.09
Masikoro Malagasy	msh	msh	14.16
Matsés	mcf	mcf	9.61
Mauritian Creole	mfe	mfe	14.20
Mazaltepec Zapotec	zpy	zpy	9.47
Mazatlán Mazatec	vmz	vmz	9.82
Mazatlán Mixe	mzl	mzl	10.05
Mbe	mfo	mfo	10.24
Mbo (Cameroon)	mbo	mbo	9.51
Mbum	mdd	mdd	9.82
Medumba	byv	byv	10.95
Mekeo	mek	mek	9.18
Meru	mer	mer	9.89
Mesopotamian Arabic	acm	acm	3.78
Mewari	mtr	mtr	10.58
Min Nan Chinese	nan	nan	17.55
Minangkabau	min	min	23.10
Mingrelian	xmf	xmf	11.47
Mitlatongo Mixtec	vmm	vmm	9.95
Miya	mkf	mkf	10.16
Mokpwe	bri	bri	7.53
Moksha	mdf	mdf	0.47
Mom Jango	ver	ver	10.93
Mongolian	mon	mon	269.08
Montenegrin	cnr	cnr	32.10
Moroccan Arabic	ary	ary	104.67
Motu	meu	meu	9.88
Mpiemo	mcx	mcx	9.88
Mpumpong	mgg	mgg	4.94
Mundang	mua	mua	9.20
Mungaka	mhk	mhk	7.53
Musey	mse	mse	7.21
Musgu	mug	mug	4.74
Musi	mui	mui	10.52
Naba	mne	mne	10.37
Nahuatl (Huasteca)	nhe	nhe	32.00
Najdi Arabic	ars	ars	203.54
Nalik	nal	nal	10.33
Navajo	nav	nav	31.80
Nawdm	nmz	nmz	6.30
Ndebele (North)	nde	nde	12.30
Ndebele (South)	nbl	nbl	12.10
Ndonga	ndo	ndo	9.08
Neapolitan	nap	nap	9.97
Nepali	npi	npi	171.50
Ngamo	nbh	nbh	10.04
Ngas	anc	anc	10.14
Ngiemboon	nnh	nnh	16.15
Ngizim	ngi	ngi	10.06
Ngomba	jgo	jgo	10.15
Ngombale	nla	nla	8.79
Nigerian Fulfulde	fuv	fuv	9.97
Nigerian Pidgin	pcm	pcm	11.04
Nimadi	noe	noe	11.12
Nobiin	fia	fia	9.96
North Mesopotamian Arabic	ayp	ayp	10.92
North Moluccan Malay	max	max	9.43
Northern Betsimisaraka Malagasy	bmm	bmm	19.12
Northern Hindko	hno	hno	20.04
Northern Kurdish	kmr	kmr	69.59
Northern Pame	pmq	pmq	10.24
Northern Pashto	pbu	pbu	11.03
Northern Sami	sme	sme	9.40
Northern Uzbek	uzn	uzn	15.23
Northwest Gbaya	gya	gya	8.45
Norwegian	nor	nor	3849.80
Norwegian Bokmål	nob	nob	12.70
Norwegian Nynorsk	nno	nno	1.54
Notsi	ncf	ncf	9.84
Nyankpa	yes	yes	10.26
Nyungwe	nyu	nyu	8.98
Nzanyi	nja	nja	10.02
Nüpode Huitoto	hux	hux	9.04
Occitan	oci	oci	16.80
Od	odk	odk	20.26
Odia	ory	ory	144.81
Odual	odu	odu	10.57
Omani Arabic	acx	acx	22.03
Orizaba Nahuatl	nlv	nlv	11.42
Orma	orc	orc	22.01
Ormuri	oru	oru	16.74
Oromo	orm	orm	6.60
Pahari-Potwari	phr	phr	24.03
Paiwan	pwn	pwn	13.76
Panjabi	pan	pan	147.37
Papuan Malay	pmy	pmy	10.17
Papiamento	pap	pap	12.40
Parkari Koli	kvx	kvx	11.04
Pedi	nso	nso	12.64
Pero	pip	pip	9.85
Persian	fas	fas	366.07
Petats	pex	pex	10.20
Phalura	phl	phl	20.69
Piemontese	pms	pms	16.01
Piya-Kwonci	piy	piy	10.38
Plateau Malagasy	plt	plt	19.39
Polish	pol	pol	911.68
Poqomam	poc	poc	9.63
Portuguese	por	por	16855.05
Pulaar	fuc	fuc	14.77
Pular	fuf	fuf	13.77
Puno Quechua	qxp	qxp	9.81
Pushto	pus	pus	88.62
Pökoot	pko	pko	10.40
Qaqet	byx	byx	9.79
Quechua (South Bolivian)	quh	quh	12.20
Quechua (Cusco)	quz	quz	15.30
Quiotepec Chinantec	chq	chq	9.76
Rana Tharu	thr	thr	9.99
Rangi	lag	lag	9.47
Rapoisi	kyx	kyx	9.17
Ratahan	rth	rth	9.34
Rayón Zoque	zor	zor	9.04
Romanian	ron	ron	70.23
Romansh	roh	roh	9.21
Rombo	rof	rof	18.90
Rotokas	roo	roo	9.07
Rukai	dru	dru	9.26
Russian	rus	rus	20338.50
Sacapulteco	quv	quv	8.90
Saidi Arabic	aec	aec	9.28
Sakalava Malagasy	skg	skg	9.02
Sakizaya	szy	szy	11.47
Saleman	sau	sau	10.53
Samba Daka	ccg	ccg	10.11
Samba Leko	ndi	ndi	11.27
Samoan	smo	smo	12.80
San Felipe Otlaltepec Popoloca	pow	pow	8.84
San Francisco Del Mar Huave	hue	hue	9.45
San Juan Atzingo Popoloca	poe	poe	10.01
San Martín Itunyoso Triqui	trq	trq	8.29
San Miguel El Grande Mixtec	mig	mig	9.66
Sango	sag	sag	2.10
Sansi	ssi	ssi	10.47
Sanskrit	san	san	84.44
Santa Ana de Tusi Pasco Quechua	qxt	qxt	10.05
Santa Catarina Albarradas Zapotec	ztn	ztn	10.02
Santali	sat	sat	98.37
Santiago del Estero Quichua	qus	qus	9.55
Saposa	sps	sps	9.81
Saraiki	skr	skr	4.13
Sardinian	srd	srd	2.77
Saya	say	say	10.02
Scottish Gaelic	gla	gla	12.90
Sediq	trv	trv	7.77
Serbian	srp	srp	1855.33
Seri	sei	sei	9.81
Sesotho	sot	sot	14.20
Shina	scl	scl	9.84
Shona	sna	sna	9.96
Siar-Lak	sjr	sjr	9.87
Sibe	nco	nco	9.96
Sicilian	scn	scn	13.35
Sihuas Ancash Quechua	qws	qws	10.18
Sikkimese	sip	sip	10.07
Sinaugoro	snc	snc	10.38
Sindhi	snd	snd	46.27
Sindhi Bhil	sbn	sbn	10.53
Sinhala	sin	sin	11.98
Sinicahua Mixtec	xti	xti	9.50
Sipacapense	qum	qum	9.37
Siwai	siw	siw	10.47
Slovak	slk	slk	2478.46
Slovenian	slv	slv	1172.61
Solos	sol	sol	9.95
Somali	som	som	13.22
Soninke	snk	snk	10.04
South Giziga	giz	giz	10.03
South Ucayali Ashéninka	cpy	cpy	9.15
Southeastern Nochixtlán Mixtec	mxy	mxy	9.48
Southern Betsimisaraka Malagasy	bzc	bzc	17.45
Southern Pashto	pbt	pbt	11.60
Southern Pastaza Quechua	qup	qup	11.13
Soyaltepec Mazatec	vmp	vmp	10.17
Spanish	spa	spa	27559.74
Standard Arabic	arb	arb	1483.53
Standard Moroccan Tamazight	zgh	zgh	1.19
Sudanese Arabic	apd	apd	9.93
Sulka	sua	sua	10.12
Svan	sva	sva	15.11
Swahili	swa	swa	418.41
Swedish	swe	swe	2453.14
Tae'	rob	rob	9.02
Tahaggart Tamahaq	thv	thv	4.25
Taita	dav	dav	9.12
Tajik	tgk	tgk	9.23
Tamil	tam	tam	423.09
Tandroy-Mahafaly Malagasy	tdx	tdx	3.81
Tangale	tan	tan	10.14
Tanosy Malagasy	txy	txy	12.07
Tarok	yer	yer	10.08
Tatar	tat	tat	30.03
Tedaga	tuq	tuq	10.00
Telugu	tel	tel	230.21
Tem	kdh	kdh	4.07
Teop	tio	tio	9.85
Tepeuxila Cuicatec	cux	cux	7.83
Tepinapa Chinantec	cte	cte	9.54
Tera	ttr	ttr	9.89
Terei	buo	buo	9.48
Termanu	twu	twu	11.45
Tesaka Malagasy	tkg	tkg	17.86
Tetelcingo Nahuatl	nhg	nhg	8.92
Teutila Cuicatec	cut	cut	8.04
Thai	tha	tha	10499.77
Tibetan	bod	bod	82.27
Tidaá Mixtec	mtx	mtx	9.09
Tidore	tvo	tvo	10.31
Tigak	tgc	tgc	9.71
Tigre	tig	tig	7.49
Tigrinya	tir	tir	0.08
Tilquiapan Zapotec	zts	zts	9.33
Tinputz	tpz	tpz	9.33
Tlacoapa Me'phaa	tpl	tpl	9.28
Tlacoatzintepec Chinantec	ctl	ctl	10.04
Tlingit	tli	tli	0.41
Tok Pisin	tpi	tpi	22.40
Toki Pona	tok	tok	13.51
Tomoip	tqp	tqp	10.10
Tondano	tdn	tdn	9.14
Tonsea	txs	txs	9.32
Tooro	ttj	ttj	10.31
Torau	ttu	ttu	9.87
Torwali	trw	trw	14.98
Tsimihety Malagasy	xmw	xmw	11.53
Tsotso	lto	lto	9.77
Tswana	tsn	tsn	4.24
Tugen	tuy	tuy	8.79
Tuki	bag	bag	10.97
Tula	tul	tul	9.79
Tulu	tcy	tcy	11.72
Tunen	tvu	tvu	9.85
Tungag	lcm	lcm	9.77
Tunisian Arabic	aeb	aeb	21.63
Tupuri	tui	tui	9.26
Turkana	tuv	tuv	10.17
Turkish	tur	tur	125.36
Turkmen	tuk	tuk	2.86
Tututepec Mixtec	mtu	mtu	10.13
Twi	twi	twi	0.25
Ubaghara	byc	byc	11.11
Uighur	uig	uig	428.77
Ukrainian	ukr	ukr	1851.97
Umbundu	umb	umb	10.59
Upper Sorbian	hsb	hsb	2.71
Urdu	urd	urd	211.27
Ushojo	ush	ush	6.36
Uzbek	uzb	uzb	115.28
Vai	vai	vai	8.76
Vietnamese	vie	vie	8481.98
Votic	vot	vot	0.10
Võro	vro	vro	15.66
Waci Gbe	wci	wci	8.02
Wadiyara Koli	kxp	kxp	20.00
Waja	wja	wja	10.22
Wakhi	wbl	wbl	11.67
Wanga	lwg	lwg	9.36
Wapan	juk	juk	10.22
Warji	wji	wji	11.39
Welsh	cym	cym	131.21
Wemale	weo	weo	9.09
Western Frisian	fry	fry	70.41
Western Highland Purepecha	pua	pua	10.17
Western Juxtlahuaca Mixtec	jmx	jmx	10.01
Western Maninkakan	mlq	mlq	9.83
Western Mari	mrj	mrj	32.26
Western Niger Fulfulde	fuh	fuh	9.69
Western Panjabi	pnb	pnb	10.00
Wolof	wol	wol	8.71
Wuzlam	udl	udl	9.23
Xanaguía Zapotec	ztg	ztg	9.86
Xhosa	xho	xho	13.35
Yace	ekr	ekr	10.76
Yakut	sah	sah	16.08
Yalahatan	jal	jal	11.18
Yanahuanca Pasco Quechua	qur	qur	9.95
Yangben	yav	yav	8.70
Yaqui	yaq	yaq	9.93
Yauyos Quechua	qux	qux	9.35
Yekhee	ets	ets	10.11
Yiddish	yid	yid	1.81
Yidgha	ydg	ydg	9.89
Yoruba	yor	yor	15.66
Yutanduchi Mixtec	mab	mab	9.26
Zacatlán-Ahuacatlán-Tepetzintla Nahuatl	nhi	nhi	0.05
Zarma	dje	dje	10.72
Zaza	zza	zza	1.52
Zulu	zul	zul	14.83
Ömie	aom	aom	8.19
